Position,Company,Location,Industry,Posted On,Extracted On,Job Type,Qualification,Job Description,Job Id,Experience,Start Date,End Date,Source
Data Analytics and Client Engagement Intern,Seattle IT,"Seattle, WA",Government Agency,,,,"Must be enrolled in an accredited educational program preferably studying:  Public Policy, Public Administration, Political Science, Statistics, Business Administration, Data Science/Analytics, Economics, Communications.

Undergraduate students will need to maintain a 2.0 GPA or above throughout the internship.
Graduate students will need to maintain a 3.0 GPA or above throughout the internship. ","Monitor and mature ITD's strategic planning program (reporting on progress for internal collaboration, assisting teams in creating/editing objectives and key results, developing mechanisms to keep client departments informed, better understanding client business needs).
Work across the department to curate performance metrics that communicate the value of ITD's services to client departments. Utilize Tableau/Power BI to display visualizations. Track progress of performance and participate in process improvement efforts.","2021-00417
","Basic statistics knowledge 
Experience with Excel 
Ability to distill information into concise written and verbal formats
Ability to deliver short-turn around assignments.
Some experience with data analytics software such as Tableau or Power BI, knowledge of Key Performance Indicators (KPIs) or performance metrics. 
Any experience with applying data analysis into actionable policy and business recommendations, goal-setting, performance management, program evaluation, or the use of objectives and key results methodology (OKRs).","June/early July, 2021 ","June, 2022",https://www.governmentjobs.com/careers/seattle/jobs/3032908/data-analytics-and-client-engagement-intern
Environmental Justice and Community Development Intern,Seattle IT,"Seattle, WA",Government Agency,,,,"Must be enrolled in an accredited educational program preferably studying: History, geography, urban planning, landscape architecture, environmental studies, community psychology, or public health.

Undergraduate students will need to maintain a 2.0 GPA or above throughout the internship.
Graduate students will need to maintain a 3.0 GPA or above throughout the internship.","Historical research
Website/document development
Community engagement
General project support",2021-00426,"Grounding and familiarity with environmental justice and anti-racism work 
Lived or work experience with BIPOC communities
Research skills 
Written and verbal communication skills 
Computer skills 
Competency with document or web publishing tools
Graphic design skills 
Web design skills
Community planning and urban design skills
Project management skills
Organization skills
Spanish or other language skills 
Community organizing skills","June/early July, 2021 ","September, 2021",https://www.governmentjobs.com/careers/seattle/jobs/3035052/environmental-justice-and-community-development-intern
SDOT Project Design & Delivery Intern (Engineering),Seattle IT,"
Seattle, WA",Government Agency,,,,"Open to undergraduate and graduate students, who are enrolled in an accredited educational program majoring in civil engineering.

Undergraduate students will need to maintain a 2.5 GPA or above throughout the internship.

Graduate students will need to maintain a 3.0 GPA or above throughout the internship.","40%  Prepare drawings/ plans for work orders
20%  Data collection, field check, survey & photograph existing conditions
20%  Assist with maintaining SDOT assets (signs, markings, sidewalks, etc.)
20%  Take after-construction photos",2020-00200,"Must have a valid WA State Driver's License and a safe driving record. A complete driving abstract will be required at the time of hire.
Working knowledge of engineering design and drafting tools, such as AutoCAD, ArcGIS. 
Working knowledge of standard MS office software, such as Excel, Publisher. 
Basic knowledge of transportation systems and facilities.
Attention to details, self-motivation and active listening.
Ability to work under pressure. 
Strong analytical, organization, and communication skills
Survey experience",Jun-21,"June 2022
",https://www.governmentjobs.com/careers/seattle/jobs/3033864/sdot-project-design-delivery-intern-engineering
SDOT Public Engagement Intern,Seattle IT,"
Seattle, WA",Government Agency,,,,"Open to all undergraduate students enrolled in an accredited 2-year or 4-year educational program and graduate students who are enrolled in an accredited educational program.
 
Preferred Areas of Study:   Communications, marketing, advertising, journalism, public administration, public policy, urban planning, transportation or related major
 
 Undergraduate students will need to maintain a 2.0 GPA or above throughout the internship.
 Graduate students will need to maintain a 3.0 GPA or above throughout the internship.","40%  Writing, designing, and distributing communications pieces, such as flyers, mailers, social media posts, presentations, signs, website content, and correspondence

30%  Developing communications and engagement plans

15%  Analyzing public input; summarizing communications and engagement plans for sharing with the public; tracking correspondence

 10%  Supporting public meetings with preparing materials, day-of logistics, notes, content development

 5%  Attending team meetings and training",2021-00396,"Desire to learn about the public input process
Analytical, organizational and communication skills
Working knowledge of standard office software (MS Office)
Attention to detail
Interest in transportation sector
Writing and editing communications
Public engagement planning
Correspondence tracking and responding
Customer service
Photography
Graphic design
Content management system experience (for updating websites)",May/June 2021,Jun-22,https://www.governmentjobs.com/careers/seattle/jobs/3028566/sdot-public-engagement-intern
SDOT Urban Forestry / Tree Inventory Management/Analysis,Seattle IT,"
Seattle, WA",Government Agency,,,,"Open to all undergraduate students enrolled in an accredited 2-year or 4-year educational program and graduate students, who are enrolled in an accredited educational program.

Preferred Areas of Study:  Forestry, Urban Forestry, Landscape Architecture, Arboriculture, Horticulture, Natural Resource Management.
 
 Undergraduate students will need to maintain a 2.0 GPA or above throughout the internship.
 Graduate students will need to maintain a 3.0 GPA or above throughout the internship.","85%  Field data collection
10%  Data verification, analysis and reporting
  5%  File/Data management",2021-00291,"Experience in or knowledge related to tree identification 
General knowledge of ArcGIS products
Ability to perform ad-hoc research using the internet
Knowledge of Microsoft Office Suite (Word, Excel, Access)
Strong analytical, organizational and communication skills
Project management experience
Familiarity with tree inventory applications",Jul-21,"September 15, 2021",https://www.governmentjobs.com/careers/seattle/jobs/3022372/sdot-urban-forestry-tree-inventory-management-analysis
SDOT Urban Forestry Invasive Pest Outreach,Seattle IT,"
Seattle, WA",Government Agency,,,,"Open to students, undergraduate and graduate students, who are enrolled in an accredited educational program
 
Preferred Areas of Study:  Forestry, Urban Forestry, Landscape Architecture, Arboriculture, Horticulture, and/or Natural Resource Management
 
 Undergraduate students will need to maintain a 2.0 GPA or above throughout the internship.
 Graduate students will need to maintain a 3.0 GPA or above throughout the internship","50%  GIS analysis to compile data on distribution of at-risk trees and tree ownership status

25%  Produce outreach material templates for existing invasive pests, such as bronze birch borer and dutch elm disease, for property owners

15%  Research case studies and plans in other cities, make recommendations for an outreach framework around invasive pest preparedness that will contribute to the upcoming Seattle Invasive Pest Response Plan

10%  Research case studies and plans in other cities, make recommendations for an outreach framework around invasive pest preparedness that will contribute to the upcoming Seattle Invasive Pest Response Plan","
2021-00286","xperience in or knowledge related to tree identification
General knowledge of ArcGIS products
Data management and organizational skills 
Ability to work independently
Ability to perform ad-hoc research using the internet
Knowledge of Microsoft Office Suite (Word, Excel, Access)
Ability to use Excel for data analysis
Experience with developing outreach materials to a variety of audiences
Knowledge of invasive species management and impacts
Experience with graphic design
Project management experience
Familiarity with tree inventory applications
Familiarity with Seattle's neighborhoods will be helpful",June/Early July 2021,"September 15, 2021",https://www.governmentjobs.com/careers/seattle/jobs/3011947/sdot-urban-forestry-invasive-pest-outreach
"SDOT Urban Forestry, Tree Mortality Study/Analysis
",Seattle IT,"
Seattle, WA",Government Agency,,,,"Open to all undergraduate students enrolled in an accredited 2-year or 4-year educational program and graduate students, who are enrolled in an accredited educational program.
 
Preferred Areas of Study:   Forestry, Urban Forestry, Landscape Architecture, Arboriculture, Horticulture, Natural Resource Management.
 
 Undergraduate students will need to maintain a 2.0 GPA or above throughout the internship.
 Graduate students will need to maintain a 3.0 GPA or above throughout the internship.","75%  Field data collection;
20%  Data verification, analysis and reporting; and
  5%   File/Data management
","
2021-00286","Experience in or knowledge related to tree identification
General knowledge of ArcGIS products
Data management and organizational skills
Ability to work independently
Ability to perform ad-hoc research using the internet
Project management experience
Familiarity with tree inventory applications
Familiarity with Seattle’s neighborhoods will be helpful
",Jul-21,"September 15, 2021",https://www.governmentjobs.com/careers/seattle/jobs/3022260/sdot-urban-forestry-tree-mortality-study-analysis
Urban Design and Planning Intern,Seattle IT,"
Seattle, WA",Government Agency,,,,"Must be enrolled in an accredited educational program preferably studying Urban Design, Planning, Architecture, Landscape Architecture, Environmental Studies, or related majors or program of study.
Graduate students will need to maintain a 3.0 GPA or above throughout the internship.","On-site and virtual analysis of existing downtown Seattle public realm conditions 
Synthesis of data and graphic representations to inform public policy and future capital investments
Other duties as assigned",2021-00416,"Excellent graphic, photographic and written communication
Experience working with Microsoft Office
Graphic skills including familiarity with Adobe illustrator and photoshop. ArcGIS Photography skills
","June/early July, 2021","September, 2021",https://www.governmentjobs.com/careers/seattle/jobs/3032882/urban-design-and-planning-intern
"Data Entry Intern
",Seattle IT,"
Seattle, WA",Government Agency,,,,"Familiarity with GIS software and concepts

Experience using Microsoft Excel  

Demonstrated proficiency with office automation and information technology tools

Requires 6 months experience engaged in data entry efforts

College level coursework in data entry, some GIS, Excel, and Microsoft suite","Read, interpret and verify information from a variety of sources, including, but not limited to: plan sets, as-built drawings, architectural drawings, survey data and associated documents, sketches, maps, notes related to field checks, surveys, arborist reports, and other documents.

Review and edit the Tree Tracking Database feature class using ESRI's ArcGIS Pro software.

Perform quality assurance.

Run queries and apply filters in the SDCI permit system  

Review and edit permit records in the SDCI permit system

Coordinate and communicate with other team members, supervisor and subject matter experts in support of work tracking and technical job tasks.

Independently resolve most routine problems, while informing team supervisor or lead of unusual problems not covered by procedures and guidelines.

Participate in presentations, special projects and assignments as directed.",2021-00422,"Experience with ESRI's ArcGIS software suite.

Experience editing GIS data sets using ArcGIS Pro 

Experience in the interpretation of plan sets and similar source documents related to development permit applications. 

One year of experience performing GIS data creation and/or maintenance.  ",early May,Na,https://www.governmentjobs.com/careers/seattle/jobs/3034582/data-entry-intern
Desktop Support Specialist,Port of Seattle,"Bellevue, WA",Video games,,,,,"As a Desktop Support Specialist, you will provide technical support to Port of Seattle employees in a complex environment with multiple software applications and a wide variety of hardware components.
You will work closely with Information and Communications Technology (ICT) customers, business partners and other ICT teams to examine existing desktop technical architecture systems and confirm the suitability of the systems to meet business objectives and strategies.
You will participate in the design, testing and implementation of desktop technology for medium to large enterprise IT projects.
You will recommend changes or specifications for new systems as needed.
You will serve as Subject Matter Expert (SME) in the installation and support of PC based systems (PCs, laptops, and tablets, etc.), peripheral devices (printers, scanners, etc.) and software (off-the shelf or custom). Oversee the implementation of new systems, processes and technology in the enterprise.
You will provide support to Port customers requesting assistance utilizing PC based technologies, with a range of support to include but not limited to: hardware equipment functionality, software applications, process support issues, general technical questions and emergent situations due to system failures and repairs.
You will determine root cause analysis of problems that exist or are reported by end-users.",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1044074&s=58&guid=000001776f95ca5bb760ba079a9a5114&src=GD_JOB_AD&t=SR&vt=w&cs=1_16673174&cb=1612484824127&jobListingId=3815157338
Career Navigator/Site Coordinator,YWCA Seattle | King | Snohomish,"Auburn, WA",Social Services,,,,,"and breakroom supplies Communicates and coordinates with YWCA IT on site technology answers phones, greets and welcome visitors and provides general informationâ€¦ Additional experience in job and Work-site development, internship placement, and retention services Experience working with communities of color and peopleâ€¦",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1044074&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&cs=1_8c4bbf3a&cb=1612463522681&jobListingId=3799052050
Internship Opportunities for Students,Microsoft,"Redmond, WA",Computer Software,,,,,"To be considered for an internship position, you need to be enrolled as a student majoring in an applicable fieldâ€¦Our teams incubate advanced technologies, including new PC form factors, input devices, Quantum Computers, and hand-held consumer devices, and build deep partnerships with Microsoft Research, Productâ€¦",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=37049&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&cs=1_a8664dda&cb=1612463522681&jobListingId=3645234517
2021 T-Mobile for Business Internships,T-Mobile,"Bellevue, WA",Telecommunications,,,,,"Our team includes IoT, MVNO, Business Development, Operations, Regional Sales, Enterprise Sales Support, National Distribution, Channel Reporting & Analytics, Customer Experience, Product Strategy & Planning, Channel Marketing, Training, Project Management, Wholesale, and Communications. We’re primarily based at our headquarters campus in Bellevue, WA and Overland Park, KS but we’re also located in various regional business offices across the country.
Working as an Intern on our T-Mobile for Business Team means everything from developing business & product requirements, writing product specifications, provide production support, precision targeted marketing activities, drive critical initiatives across the Wholesale Division, manage key programs within TfB business training, and much more!
You’ll contribute your creativity and great ideas, working alongside innovative colleagues and mentors who will push you to be your very best. We’ll give you hands-on projects and the chance to create an immediate impact.",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136006&s=58&guid=000001776f95ca5bb760ba079a9a5114&src=GD_JOB_AD&t=SR&vt=w&cs=1_c1e1e1db&cb=1612484824128&jobListingId=3809809979
2021 T-Mobile for Business Internships,T-Mobile,"Seattle, WA",Telecommunications,,,,,"Our Internship Program takes place over the summer running 12 weeks from June to September. As an Intern, you’ll receive competitive pay, relocation benefits, a world class learning experience, and the support of a team that believes in your potential. You’ll also have plenty of opportunities to meet and network with other interns, fellow team members, and top leaders from all business functions across the company as you make connections that will last your career. 

A big part of our culture is about embracing our Magenta spirit. And we’ll ask you to do the same. Check out #BeMagenta to see how we work together to take care of our customers and each other every day.",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136006&s=58&guid=000001776f95ca5bb760ba079a9a5114&src=GD_JOB_AD&t=SR&vt=w&cs=1_c1e1e1db&cb=1612484824128&jobListingId=3809809979
New Graduate Software Engineer,Discovery Communications,"Bellevue, WA",Foreign Limited Liability Company,,,,,"Internship Description: New Graduate -Software Engineer This position can be in the following US citiesâ€¦: Bellevue, Washington, NYC, Knoxville About the organization Discovery Direct-to-Consumer is the technology arm of Discoveryâ€¦",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136006&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&cs=1_eef26a3b&cb=1612463522684&jobListingId=3816433051
Early Talent Internship,Novo Nordisk,"Seattle, WA",Information Technology & Servicess,,,,,technologies to early R&D projects with the goal of bringing real change to People with Diabetes and Obesityâ€¦Scope of the Position The internship for Finance Digitization is an opportunity to masterâ€¦,,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136006&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&cs=1_cdb7c9d3&cb=1612463522684&jobListingId=3787697440
"Software Engineer, Intern",DoorDash,"Seattle, WA",Food Industry,,,,,"DoorDash is building the world's most reliable on-demand, logistics engine for delivery! We're looking for experienced engineers to join our fast-growing engineering team to help us develop a 24x7, global infrastructure system that powers DoorDash’s three-sided marketplace of consumers, merchants, and dashers.
At DoorDash, our product engineers implement and operate technological solutions to improve the experiences of our merchants, dashers, and consumers. From creating beautiful, user-friendly flows to crafting scalable backend architectures, we strive to deliver reliant, performant technology that delights our customers.
What You’ll Do Intern programming - Past examples include Lunch and Learns with our executive members, game nights, movie nights, intern offsites, etc Present your summer learnings during Demo Day at the end of the internship Develop, maintain and ship technical elements with the support of your mentor, manager, and team members Act on feedback, coaching, and mentorship from your mentor, and team members Actively learn about the elements to which you contribute Make a direct impact on our business by collaborating with your team to solve problems for our customers
",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136006&s=58&guid=000001776f95ca5bb760ba079a9a5114&src=GD_JOB_AD&t=SR&vt=w&cs=1_a5ba407d&cb=1612484824128&jobListingId=3740778144
"Software Engineer, Intern",DoorDash,"Seattle, WA",Food Industry,,,,,"At DoorDash, our product engineers implement and operate technological solutions to improve the experiences of our merchants, dashers, and consumersâ€¦From creating beautiful, user-friendly flows to crafting scalable backend architectures, we strive to deliver reliant, performant technology that delights our customers. â€¦",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136006&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&cs=1_f6be65c1&cb=1612463522684&jobListingId=3740778144
Software Engineer Internship,Milliman,"Bellevue, WA",Computer Software,,,,,"The MedInsight engineering team develops an industry-leading software as a service data warehouse platform, analytical tools, and custom applications for healthcare providers, payers, community coalitions, and all payer claims database customers. We are looking for interns that are creative, passionate, enthusiastic and most importantly eager to learn. This internship is catered towards individuals that really want to know how it is to work in a growing software company. Interns will be will be assigned a senior engineer as their mentor and will be a full member of the engineering team.
Above all else, we are interested in people that are excited about developing new solutions, working in a fast paced environment, and collaborating with individuals outside of the engineering team to solve problems. Most members of the engineering team wear numerous hats, so the ideal candidate is an innovative self-starter with a solid software development foundation, who is interested in working with our team of experienced developers to make a measurable impact. The healthcare technology space is constantly evolving, so it is essential for success that candidates be able to learn new processes/technologies and to adapt quickly. The Milliman MedInsight group is rapidly growing, so successful candidates will have opportunities to grow within their positions and within the larger team.

",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136006&s=58&guid=000001776f95ca5bb760ba079a9a5114&src=GD_JOB_AD&t=SR&vt=w&cs=1_bb86fd34&cb=1612484824128&jobListingId=3814001773
GE Digital Internship Summer,GE,"Bothell, WA",Mechanical or Industrial Engineering,,,,,"Interns will learn from the best in the industry and work on substantial projects with real world implications, getting hands-on with digital technologiesâ€¦Focus areas for this internship will be in Grid Software Solutions within Services and Engineering functionsâ€¦",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=133822&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&cs=1_c1788744&cb=1612463522684&jobListingId=3724986714
GE Digital Internship Summer,GE,"Seattle, WA",Mechanical or Industrial Engineering,,,,,"We are the doers. The leaders. The makers. The change-bringers. We are all different, uniting to solve the worlds toughest challenges. Our teams are hungry to make history, acting with integrity to relentlessly improve peoples lives. With every weld, every sale, and every code we write we keep the world in motion. Its time to stop dreaming about the future; lets build it together.
GE is seeking sharp, personable, highly-organized interns who are looking for the opportunity to grow their technical and professional skills while building a career with unlimited potential. Interns will learn from the best in the industry and work on substantial projects with real world implications, getting hands-on with digital technologies.
We offer meaningful, impactful assignments as well as a Summer that includes team building, career development opportunities, and more! GE Digital Interns are GEs primary pipeline to full-time employment opportunities as a direct hire. GE Digital Interns are hired to focus on a particular area within GE Digital based on availability of positions, the interviewer's assessment, and the applicant's preference. Focus areas for this internship will be in Grid Software Solutions within Services and Engineering functions.
GE Digital intern assignments, typically 10 to 12 weeks in length, are dynamic and challenging based on the business needs and the type of work required. Interns have significant exposure to key Software and business leaders at GE; as well as a global internship support network to accelerate learning and development.",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=133822&s=58&guid=000001776f95ca5bb760ba079a9a5114&src=GD_JOB_AD&t=SR&vt=w&cs=1_1d5b8801&cb=1612484824129&jobListingId=3724986714
Corporate Strategy Internships,T-Mobile,"Bellevue, WA",Telecommunications,,,,,"Advertising Technology Marketing Consulting Data Monetization Business Analyst Project Management Wholesale Roaming Partner Qualificationsâ€¦ Youâ€™re currently enrolled in college and pursuing a Bachelorâ€™s, Masterâ€™s, or MBA degree with a Business, Finance, Information Systems, Marketing, or Technology focusâ€¦",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136006&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&cs=1_8b2c5e9b&cb=1612463522684&jobListingId=3809810205
Innovation and Design Engineer Internship - Summer,Amazon,"Seattle, WA",Retail/Ecommerce,,,,,"Our interns will have the opportunity to impact the evolution of Amazon technology as well as lead mission critical projects early in your careerâ€¦No matter the location of your internship, we give you the tools to own your summer and learn in a real world settingâ€¦",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=133043&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&cs=1_a7d42ca5&cb=1612463522685&jobListingId=3808078968
Seattle Intern,Protiviti,"Seattle, WA",Recruiting and Staffing,,,,,"Protivitiâ€™s internship is an innovative experience designed to immerse you in our unique business and cultureâ€¦Through our internship, you may work across a variety of solutions and industries and engage in internal initiatives, all of which will fuel your curiosity, uncover hidden strengths, and prepare you for your careerâ€¦",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=242900&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&cs=1_278680d3&cb=1612463522685&jobListingId=3813765669
User Research Intern,Likewise,"Bellevue, WA",Entertainment,,,,,"Our unique combination of smart technology and real recommendations from an authentic community of real users, helps you uncover hidden gems that will become new favorites and easily stay on topâ€¦If you are creative and solutions driven, and willing jump in and move fast, this internship is the perfect roleâ€¦",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=14295&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&cs=1_76ecb8e9&cb=1612463522685&jobListingId=3778611109
User Research Intern,Likewise,"Bellevue, WA",Entertainment,,,,,"Imagined and backed by Bill Gates’ private office, Likewise is a rare early-stage startup that is thinking big, playing to win, and investing to continue its rapid growth trajectory. We provide personalized recommendations for TV, movies, books, and podcasts, based on your unique interests and tastes. Our unique combination of smart technology and real recommendations from an authentic community of real users, helps you uncover hidden gems that will become new favorites and easily stay on top of all the new entertainment options available
Likewise is seeking a talented and analytical UX / User Research intern to join the team and support ongoing Insights & Strategy work. This role will support both qualitative and quantitative initiatives focused on product strategy and design. This is a great opportunity to get hands on experience in an early stage and rapidly growing company.

In partnership with a small-but-fantastic team of marketers, creatives, engineers, and data geeks, you will have a great opportunity to contribute in meaningful ways and grow personally and professionally in the process. You need to have a strong bias-for-action and a passion for connecting user insights & behaviors to product strategy. If you are creative and solutions driven, and willing jump in and move fast, this internship is the perfect role for you!",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=14295&s=58&guid=000001776f95ca5bb760ba079a9a5114&src=GD_JOB_AD&t=SR&vt=w&cs=1_e6e7210f&cb=1612484824130&jobListingId=3778611109
Dashboard & Analytics Internship,Zeevo Group,"Seattle, WA",Information Technology & Servicess,,,,,"Do you delight in interrogating the numbers to reveal their hidden truths about business, process and technologyâ€¦ intelligence, and much more, an internship with us could lead you to the biggest challenge of your careerâ€¦",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1136006&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&cs=1_ffa06dea&cb=1612463522685&jobListingId=3799734912
Scientific Software Developer Internship,Modern Electron,"Bothell, WA",Computer Software,,,,,"As a member of our R&D team, you will work on software development that supports design, modeling, and analysis of Modern Electrons cutting edge thermionic converter technologyâ€¦Expensive mechanical engines and turbines based on 19th-century technology still generate the majority of the power used worldwideâ€¦",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=4341&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6bcd8e33&cb=1612463522685&jobListingId=3772044626
Internship Opportunities for Students - Service Engineer,Microsoft,"Bothell, WA",Computer Software,,,,,"This highly visible role will have you working closely with other disciplines including, software engineers, program managers, partners, business groups, and data center engineering teams. You will need an excellent combination of relevant technological knowledge, cross-group collaboration skills, communication and negotiation skills, relationship-building skills, and planning skills. You will also need a sense of urgency to get things done efficiently-working both independently and as part of a team. You understand the need for implementing and following processes across the service ecosystem.
Applications to these opportunities are considered for all available Services Engineering intern roles including the ones described below, depending on education level and/or location. To be considered for an internship position, you need to be enrolled full-time as a student majoring in an applicable field.",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1136006&s=58&guid=000001776f95ca5bb760ba079a9a5114&src=GD_JOB_AD&t=SR&vt=w&cs=1_b2214a9c&cb=1612484824131&jobListingId=3776060859
Intern,Tetra Tech,"Redmond, WA",Business Services,,,,,"We search for genuinely passionate people who thrive in collaborative environments, care deeply about sustainability and want to bring new engineering innovations to building projects. If you also embrace accomplishing this with a diverse team of passionate people, we encourage you to apply.
Our internship program is designed to help you bridge the gap between formal education and the workplace. The program comprises a range of core competencies and recommended training and we work with you to develop a plan, outlining your goals and required actions, and provide training that will introduce you to the world of design engineering. Along with local site visits, technical seminars, and training, Glumac connects you with team members to source knowledge and experience, which creates an invaluable network that helps you learn, grow, and develop your professional skills",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1136006&s=58&guid=000001776f95ca5bb760ba079a9a5114&src=GD_JOB_AD&t=SR&vt=w&cs=1_c1fadc48&cb=1612484824131&jobListingId=3816711294
Software Engineering Internship - Full Stack,"TuSimple, Inc.","Seattle, WA",Information Technology & Servicess,,,,,"As a multi-national Artificial Intelligence Technology Company, we are at the epicenter of the Autonomous Vehicle Universeâ€¦
While inventing the framework of Autonomous Driving, our current fleet of autonomous Trucks are helping communities receive much-needed supplies and medical equipment around the clock. Our people are some of the most talented engineers and contributors who are leaving behind a historic legacy.",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=8095&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_05dd6889&cb=1612463522686&jobListingId=3681200849
Fall 2021 Internship: Engineering,Blue Origin,"Kent, WA",Aerospace/Airline/Aviation,,,,,"Internships are 12-15 weeks long and available year-round in Spring (January-April), Summer (May-September), and Fall (September â€“ December). â€¦ Students must be currently enrolled in an undergraduate or graduate degree program and have at least one semester of school remaining after the internshipâ€¦
We are a mission-driven team of collaborators, doers and problem-solvers relentlessly committed to a culture of safety. As part of our small, passionate, and accomplished team, you will help us design, build, and test space vehicles and rocket engines! Interns work directly with our experienced engineers in support of our business units New Shepard, New Glenn, Blue Engines, and Advanced Development Programs. Projects may include applied engineering in fluid systems, guidance, control & navigation, manufacturing, structural & mechanical systems, electrical systems, avionics software, systems engineering, and test engineering.",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136006&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&cs=1_aaee22c7&cb=1612463522686&jobListingId=3812578716
Software Development Engineer - IMDb,IMDb,"Seattle, WA",Entertainment,,,,,"We have high technical standards and support you to lead the team to reach for new engineering excellence leveraging internal Amazon technologies as well as AWS services like EC2 and Lambda as wellâ€¦ as other technologies such as GraphQL. â€¦
As a software development engineer, you will own one or more key initiatives in IMDb Consumer User Data and have the freedom to drive the architecture and development of complex User Data products collaborating across IMDb consumer, app, Content, and IMDb Pro teams. You have a passion for entertainment/media and are familiar with IMDb user features such as Ratings, Reviews, Lists, Polls ad Identity. You will also be working with hot new services and improvements to customer personalization, recommendations, and messaging at IMDb",,NA-Feb 2020 Data,,,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=37049&s=58&guid=000001776e50c142b251cd408e43f689&src=GD_JOB_AD&t=SR&vt=w&cs=1_1b500b6b&cb=1612463522686&jobListingId=3734615941
